plan_kwh,charge_kwh,discharge_kwh,spill_kwh,soc_start_kwh,soc_end_kwh,load_kwh,pv_kwh,emergency_kwh,price
0,0,22.562249999999995,0,1859.6934074074063,1834.6242407407397,987.29713333333325,964.7348833333333,0,0.96999999999999997
3.907985046680551e-14,17.424066666666629,0,0,1834.6242407407397,1850.3059007407396,984.59766666666667,1002.0217333333333,0,0.94220000000000004
0,52.837766666666539,0,0,1850.3059007407396,1897.8598907407395,983.18769999999995,1036.0254666666665,0,0.95689999999999997
0,84.56241666666655,0,9.9475983006414026e-14,1897.8598907407395,1973.9660657407394,983.70326666666665,1068.2656833333333,0,0.99770000000000003
2.8421709430404007e-14,116.98358333333343,0,0,1973.9660657407394,2079.2512907407395,982.91321666666659,1099.8968,0,0.9919
1.1368683772161603e-13,146.66060000000016,0,0,2079.2512907407395,2211.2458307407396,981.12613333333331,1127.7867333333334,0,0.95879999999999999
0,173.52024999999989,0,2.8421709430404007e-14,2211.2458307407396,2367.4140557407395,978.91179999999997,1152.4320499999999,0,0.95489999999999997
1.7053025658242404e-13,201.0290833333334,0,5.6843418860808015e-14,2367.4140557407395,2548.3402307407396,976.3384666666667,1177.3675499999999,0,0.9839
0,225.40611666666638,0,1.7053025658242404e-13,2548.3402307407396,2751.2057357407393,974.16579999999999,1199.5719166666665,0,0.79900000000000004
8.5265128291212022e-14,244.00925000000015,0,0,2751.2057357407393,2970.8140607407395,973.17644999999993,1217.1857,0,0.50249999999999995
575.17091666666647,833.33333333333326,0,0,2970.8140607407395,3720.8140607407395,973.11838333333321,1231.2808,0,0.4662
0,272.63153333333321,0,0,3720.8140607407395,3966.1824407407394,970.57296666666662,1243.2044999999998,0,0.50070000000000003
3.979039320256561e-13,284.32098333333369,0,5.6843418860808015e-14,3966.1824407407394,4222.0713257407397,969.13220000000001,1253.4531833333333,0,0.48270000000000002
179.27717139917866,468.57863806584544,0,1.1368683772161603e-13,4222.0713257407397,4643.7921000000006,972.06584999999995,1261.3673166666667,0,0.47849999999999998
