date,strategy,normal_cost_yuan,emergency_cost_yuan,total_cost_yuan,plan_kwh,emergency_kwh,emergency_intervals,spill_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,solve_seconds,mip_gap
2025-06-03,greedy,39604.201698751203,40401.069424331516,80005.271123082726,65804.004003481998,6262.8778659593154,24,66.086733442504169,19198.111808038451,15389.683505372968,5285.1629784181505,5463.8152663494657,0,0
2025-06-04,greedy,42860.480885083482,17834.719500301522,60695.200385385004,71154.872552952918,2692.4637360684765,15,253.3764604338412,20865.029023506995,16916.330011586106,5463.8152663494657,5446.4191524100988,0,0
2025-06-05,greedy,43957.588967765703,18015.016220093428,61972.605187859132,72471.039082548523,2759.0695193989532,20,42.228418342883742,21951.031459858696,17912.469292920763,5446.4191524100988,5299.603807482079,0,0
2025-06-06,greedy,17365.164945631543,24514.971326389354,41880.1362720209,32026.443944773713,4075.5083546300184,19,2197.1358558701982,15862.600721693179,12812.779678159643,5299.603807482079,5339.5225923841199,0,0
2025-06-07,greedy,18503.933330774071,8928.6679053239295,27432.601236098002,33895.774887908789,1325.8354046524776,6,787.91477423885408,16117.406932912723,12810.224581256978,5339.5225923841199,5611.6059639422601,0,0
2025-06-08,greedy,53721.31987356265,0,53721.31987356265,85891.600924170896,0,0,15403.169223987563,18214.53733185192,12911.028898335249,5611.6059639422601,7659.1018977920503,0,0
2025-06-09,greedy,51203.860620719795,76.851844639076191,51280.712465358869,81342.118854754139,11.394743070513186,1,7156.978328889285,19441.904066237483,16178.081530635434,7659.1018977920503,7181.1694122553135,0,0
2025-06-10,greedy,51710.235981944024,0,51710.235981944024,82279.887485172279,0,0,6642.0504789160077,20436.884398855058,16417.491625932133,7181.1694122553135,7332.7080090780591,0,0
2025-06-11,greedy,52536.619535195656,2358.4494210253006,54895.068956220959,83747.437321970749,489.26784840828907,5,3623.0253085899781,23438.910466799083,18909.676921676677,7332.7080090780591,7416.9752940009266,0,0
2025-06-12,greedy,54544.415124727762,0,54544.415124727762,85955.682599191045,0,0,9331.0900569565238,20082.607761256993,15910.406652355798,7416.9752940009266,7813.0926654035584,0,0
