slot,interval,plan_kwh,charge_kwh,discharge_kwh,spill_kwh,soc_start_kwh,soc_end_kwh,load_kwh,pv_kwh,emergency_kwh,price
96,16:00-16:10,445.4316500000001,0,0,0,10800,10800,945.16910000000007,499.73744999999997,0,0.82709999999999995
97,16:10-16:20,495.69658333333325,0,0,0,10800,10800,943.59876666666662,447.90218333333337,0,0.85189999999999999
98,16:20-16:30,547.11905000000002,0,0,0,10800,10800,944.3153666666667,397.19631666666669,0,0.87909999999999999
99,16:30-16:40,599.98543333333328,0,0,0,10800,10800,948.17286666666655,348.18743333333333,0,0.90239999999999998
100,16:40-16:50,635.4297499999999,0,0,0,10800,10800,933.94356666666658,298.51381666666668,0,0.9163
101,16:50-17:00,660.83068333333335,0,0,0,10800,10800,911.11873333333335,250.28805,0,0.9264
102,17:00-17:10,702.03693333333331,0,0,0,10800,10800,911.23231666666663,209.19538333333333,0,0.94620000000000004
103,17:10-17:20,738.06578333333334,0,0,0,10800,10800,910.78783333333331,172.72205,0,0.97419999999999995
104,17:20-17:30,775.94471666666664,0,0,0,10800,10800,915.40763333333337,139.46291666666667,0,0.98619999999999997
105,17:30-17:40,826.08325000000002,0,0,0,10800,10800,936.95513333333338,110.87188333333333,0,0.97599999999999998
106,17:40-17:50,762.42279999999994,0,0,0,10800,10800,848.53543333333323,86.112633333333321,0,1.0742
107,17:50-18:00,636.98261666666667,0,0,0,10800,10800,701.42813333333334,64.445516666666663,0,1.2313000000000001
108,18:00-18:10,531.89404999999988,0,109.26725000000005,0,10800,10678.591944444444,687.12684999999988,45.965549999999993,0,1.2561
109,18:10-18:20,678.83053333333328,0,0,0,10678.591944444444,10678.591944444444,709.32263333333333,30.492099999999997,0,1.2446999999999999
110,18:20-18:30,686.2684999999999,0,0,0,10678.591944444444,10678.591944444444,704.32539999999995,18.056899999999999,0,1.2544999999999999
111,18:30-18:40,696.50438333333329,0,0,0,10678.591944444444,10678.591944444444,705.55639999999994,9.0520166666666668,0,1.2522
112,18:40-18:50,0,0,704.63426666666658,0,10678.591944444444,9895.6649814814809,707.74374999999986,3.1094833333333334,0,1.2881
113,18:50-19:00,0,0,706.48403333333329,0,9895.6649814814809,9110.6827222222219,706.52991666666662,0.045883333333333332,0,1.3466
114,19:00-19:10,0,0,707.40646666666657,0,9110.6827222222219,8324.6755370370374,707.44473333333326,0.038266666666666664,0,1.3523000000000001
115,19:10-19:20,0,0,708.553,0,8324.6755370370374,7537.394425925927,708.65311666666662,0.10011666666666666,0,1.3445
116,19:20-19:30,0,0,709.44688333333329,0,7537.394425925927,6749.1201111111122,709.44688333333329,0,0,1.3483000000000001
117,19:30-19:40,0,0,711.23244999999997,0,6749.1201111111122,5958.8618333333343,711.23244999999997,0,0,1.349
118,19:40-19:50,0,0,711.66250000000002,0,5958.8618333333343,5168.125722222223,711.66250000000002,0,0,1.3472999999999999
119,19:50-20:00,0,0,711.44503333333319,0,5168.125722222223,4377.6312407407413,711.44503333333319,0,0,1.3482000000000001
120,20:00-20:10,0,0,713.7040833333333,0,4377.6312407407413,3584.6267037037042,713.7040833333333,0,0,1.3512999999999999
121,20:10-20:20,0,0,715.28414999999995,0,3584.6267037037042,2789.8665370370372,715.28414999999995,0,0,1.3400000000000001
122,20:20-20:30,0,0,715.22685000000001,0,2789.8665370370372,1995.170037037037,715.22685000000001,0,0,1.3489
123,20:30-20:40,0,0,715.65303333333327,0,1995.170037037037,1200,715.65303333333327,0,0,1.3952
124,20:40-20:50,715.86891666666656,0,0,0,1200,1200,715.86891666666656,0,0,1.2225999999999999
125,20:50-21:00,717.00511666666671,0,0,0,1200,1200,717.00511666666671,0,0,0.93320000000000003
126,21:00-21:10,720.16030000000001,0,0,0,1200,1200,720.16030000000001,0,0,0.90680000000000005
