plan_kwh,charge_kwh,discharge_kwh,spill_kwh,soc_start_kwh,soc_end_kwh,load_kwh,pv_kwh,emergency_kwh,price
197.52351666666664,0.0,0.0,0.0,10800.0,10800.0,942.7275166666666,745.204,0.0,0.7217
244.8140333333332,0.0,0.0,0.0,10800.0,10800.0,942.8477833333333,698.03375,0.0,0.7308
295.5346166666667,0.0,0.0,0.0,10800.0,10800.0,943.7668,648.2321833333333,0.0,0.7534
345.77750000000015,0.0,0.0,0.0,10800.0,10800.0,944.8766,599.0990999999999,0.0,0.7823
394.9314833333333,0.0,0.0,0.0,10800.0,10800.0,945.57945,550.6479666666667,0.0,0.8055
445.4316500000001,0.0,0.0,0.0,10800.0,10800.0,945.1691000000001,499.73744999999997,0.0,0.8271
495.69658333333325,0.0,0.0,0.0,10800.0,10800.0,943.5987666666666,447.90218333333337,0.0,0.8519
547.11905,0.0,0.0,0.0,10800.0,10800.0,944.3153666666667,397.1963166666667,0.0,0.8791
599.9854333333333,0.0,0.0,0.0,10800.0,10800.0,948.1728666666666,348.18743333333333,0.0,0.9024
635.4297499999999,0.0,0.0,0.0,10800.0,10800.0,933.9435666666666,298.5138166666667,0.0,0.9163
660.8306833333334,0.0,0.0,0.0,10800.0,10800.0,911.1187333333334,250.28805,0.0,0.9264
702.0369333333333,0.0,0.0,0.0,10800.0,10800.0,911.2323166666666,209.19538333333333,0.0,0.9462
738.0657833333333,0.0,0.0,0.0,10800.0,10800.0,910.7878333333333,172.72205,0.0,0.9742
775.9447166666666,0.0,0.0,0.0,10800.0,10800.0,915.4076333333334,139.46291666666667,0.0,0.9862
826.08325,0.0,0.0,0.0,10800.0,10800.0,936.9551333333334,110.87188333333333,0.0,0.976
762.4227999999999,0.0,0.0,0.0,10800.0,10800.0,848.5354333333332,86.11263333333332,0.0,1.0742
636.9826166666667,0.0,0.0,0.0,10800.0,10800.0,701.4281333333333,64.44551666666666,0.0,1.2313
531.8940499999999,0.0,109.26725000000005,0.0,10800.0,10678.591944444444,687.1268499999999,45.96554999999999,0.0,1.2561
678.8305333333333,0.0,0.0,0.0,10678.591944444444,10678.591944444444,709.3226333333333,30.492099999999997,0.0,1.2447
686.2684999999999,0.0,0.0,0.0,10678.591944444444,10678.591944444444,704.3254,18.0569,0.0,1.2545
696.5043833333333,0.0,0.0,0.0,10678.591944444444,10678.591944444444,705.5563999999999,9.052016666666667,0.0,1.2522
0.0,0.0,704.6342666666666,0.0,10678.591944444444,9895.664981481481,707.7437499999999,3.1094833333333334,0.0,1.2881
0.0,0.0,706.4840333333333,0.0,9895.664981481481,9110.682722222222,706.5299166666666,0.04588333333333333,0.0,1.3466
0.0,0.0,707.4064666666666,0.0,9110.682722222222,8324.675537037037,707.4447333333333,0.038266666666666664,0.0,1.3523
0.0,0.0,708.553,0.0,8324.675537037037,7537.394425925927,708.6531166666666,0.10011666666666666,0.0,1.3445
0.0,0.0,709.4468833333333,0.0,7537.394425925927,6749.120111111112,709.4468833333333,0.0,0.0,1.3483
0.0,0.0,711.23245,0.0,6749.120111111112,5958.861833333334,711.23245,0.0,0.0,1.349
0.0,0.0,711.6625,0.0,5958.861833333334,5168.125722222223,711.6625,0.0,0.0,1.3473
0.0,0.0,711.4450333333332,0.0,5168.125722222223,4377.631240740741,711.4450333333332,0.0,0.0,1.3482
0.0,0.0,713.7040833333333,0.0,4377.631240740741,3584.626703703704,713.7040833333333,0.0,0.0,1.3513
0.0,0.0,715.28415,0.0,3584.626703703704,2789.8665370370372,715.28415,0.0,0.0,1.34
0.0,0.0,715.22685,0.0,2789.8665370370372,1995.170037037037,715.22685,0.0,0.0,1.3489
0.0,0.0,715.6530333333333,0.0,1995.170037037037,1200.0,715.6530333333333,0.0,0.0,1.3952
715.8689166666666,0.0,0.0,0.0,1200.0,1200.0,715.8689166666666,0.0,0.0,1.2226
717.0051166666667,0.0,0.0,0.0,1200.0,1200.0,717.0051166666667,0.0,0.0,0.9332
720.1603,0.0,0.0,0.0,1200.0,1200.0,720.1603,0.0,0.0,0.9068
717.0548666666666,0.0,0.0,0.0,1200.0,1200.0,717.0548666666666,0.0,0.0,0.9371
720.4459666666667,0.0,0.0,0.0,1200.0,1200.0,720.4459666666667,0.0,0.0,0.9371
738.1347166666666,0.0,0.0,0.0,1200.0,1200.0,738.1347166666666,0.0,0.0,0.9871
671.6935666666666,0.0,0.0,0.0,1200.0,1200.0,671.6935666666666,0.0,0.0,0.7764
